series,pred_full,pred_cuts
96.6,94.72607984388539,96.50340005568599
95.4,96.34854440748603,96.51762570380603
94.6,94.79920405891849,94.96296749176226
94.9,94.14540832247323,94.30864499451566
95.5,94.77584794910834,95.00925812705664
95.6,95.45112988586456,95.71851625411324
95.9,95.39504674539587,95.63641937568553
95.8,95.747861559207,96.00925812705664
95.8,95.52779482515552,95.76358062431446
96.0,95.55885001210922,95.8
97.0,95.81607525600057,96.07283875137108
97.1,97.03365204034787,97.36419375685541
96.7,96.85363685343984,97.13641937568553
96.8,96.31153237405027,96.55432249725784
97.1,96.56283683499115,96.83641937568554
97.3,96.91608825287283,97.20925812705661
97.7,97.08026193826632,97.37283875137108
97.6,97.5302424408246,97.84567750274218
97.7,97.27959623896359,97.56358062431445
98.0,97.43869745888486,97.73641937568554
98.0,97.79167589633356,98.10925812705662
97.5,97.69881238243943,98.0
97.1,97.05886901384645,97.3179031215723
96.9,96.70078614376254,96.95432249725782
96.7,96.56774279183928,96.82716124862893
96.4,96.3730855068407,96.62716124862892
96.3,96.05082656881162,96.29074187294339
96.1,96.01494119449904,96.26358062431446
95.6,95.78927214354256,96.02716124862891
95.2,95.21082343557732,95.41790312157228
94.6,94.8521951671661,95.05432249725784
94.2,94.20734105324154,94.38148374588674
93.2,93.87889175637487,94.05432249725784
92.9,92.72263735165757,92.83580624314459
91.9,92.64503324759966,92.79074187294339
91.3,91.45762511572529,91.53580624314459
89.2,90.99481253067256,91.08148374588674
87.4,88.49116995489301,88.43519311060363
86.9,86.8340950563259,86.74445123766026
85.8,86.74649818460817,86.7179031215723
85.7,85.49340835790473,85.39938686745903
83.8,85.70107722990718,85.66358062431446
83.3,83.30138520762573,83.10803186197471
83.4,83.24624345322496,83.11790312157228
83.2,83.52768118626342,83.43641937568555
82.2,83.23990805345876,83.12716124862892
81.5,82.02168065254948,81.83580624314459
80.3,81.43231570790459,81.2450643702012
78.8,80.110886231734,79.8629674917735
78.2,78.5607618191943,78.25370936471687
78.6,78.25525389982683,77.98148374588676
77.6,78.9500109801828,78.74567750274215
77.9,77.54881729318795,77.23580624314458
77.5,78.23950128671825,78.00925812705664
77.8,77.63638532195266,77.35432249725783
78.3,78.14393224767417,77.90925812705662
78.3,78.69139520540482,78.48209687842771
79.3,78.53936809343719,78.3
79.0,79.81807545669768,79.66419375685541
78.9,79.12717122333704,78.89074187294338
78.7,79.09149814636686,78.86358062431447
79.5,78.86788345415857,78.62716124862892
80.5,79.95416749604264,79.79135500548433
81.3,80.98858146133972,80.86419375685541
81.2,81.70449392304585,81.59135500548433
80.2,81.32965004989283,81.16358062431446
79.6,80.08104038769527,79.83580624314459
79.4,79.62119112374883,79.38148374588674
79.6,79.55051675070399,79.32716124862893
78.3,79.86635356819448,79.67283875137107
77.4,78.14152626096939,77.82654811608796
77.7,77.39100264041728,77.07222561883013
79.1,78.05372215654793,77.80925812705662
79.4,79.75282371316295,79.60987125959757
82.1,79.71043743288499,79.50925812705664
83.2,83.07320395107092,83.0833231435096
84.2,83.65198596017505,83.60061313254097
85.0,84.59441290546282,84.56419375685542
85.3,85.31113099119949,85.29135500548433
85.4,85.44964077671128,85.40925812705662
85.4,85.48595021488521,85.43641937568555
84.6,85.45477075572751,85.4
83.7,84.4311439002605,84.30864499451566
83.3,83.52624802673874,83.37222561883013
83.2,83.29195754116034,83.15432249725784
84.0,83.2889017366931,83.16358062431446
85.5,84.3455735538746,84.29135500548433
86.7,86.02041762152847,86.04629063528311
87.6,87.0960721838395,87.13703250822651
89.0,87.88097798994504,87.92777438116987
88.6,89.39509457050592,89.50987125959757
87.5,88.45271614523448,88.45432249725783
85.4,87.16700352444596,87.09938686745905
86.6,84.82167780077734,84.63519311060364
86.2,87.00049568563591,87.03703250822649
86.6,86.11629646377979,86.05432249725784
88.5,86.73701430702592,86.74567750274215
89.3,88.99078618206546,89.19196813802529
87.1,89.46932460411392,89.59135500548433
87.7,86.45629920369946,86.29877373491809
87.6,87.90027017794657,87.91851625411326
88.8,87.55693208417361,87.56358062431445
89.5,89.14346499933912,89.23703250822649
90.6,89.64649590501739,89.7549356297988
91.2,90.85148013145155,91.00061313254095
91.7,91.2902818973493,91.41851625411326
93.1,91.78543604783083,91.8820968784277
92.6,93.36505653900963,93.60987125959757
92.2,92.2820840161806,92.4179031215723
92.0,91.95785843344572,92.05432249725784
92.7,91.82743860267425,91.92716124862892
92.0,92.7773247991295,92.9549356297988
91.1,91.67791781174621,91.7450643702012
91.4,90.71153091997965,90.77222561883012
91.7,91.39140962340298,91.50925812705664
92.0,91.69076352388257,91.80925812705662
92.3,91.96385697999919,92.10925812705662
92.8,92.23407155439025,92.40925812705662
93.5,92.79482937789805,92.98209687842771
93.1,93.54580398947589,93.7549356297988
92.8,92.81450369030962,92.95432249725782
93.8,92.5478265873149,92.69074187294338
93.4,93.93266549712132,94.16419375685541
92.1,93.10385207809583,93.25432249725785
90.5,91.54749958360928,91.62654811608795
91.2,89.90805673091585,89.91728998903135
90.6,91.28419192930055,91.4549356297988
89.4,90.31333173833669,90.38148374588674
88.3,88.92549026757406,88.96296749177351
84.2,87.93162725247113,87.89938686745904
82.5,82.97037983261946,82.7068055968928
83.2,82.08648250307634,81.88087061334579
82.2,83.41917887067737,83.4549356297988
79.1,81.96043411316845,81.83580624314459
77.8,78.35965651893679,77.9709993537482
