nome,model,file,MAE (erro entre a série inteira e a predição de todos os segmentos),RMSE (erro entre a série inteira e a predição de todos os segmentos),complexidade (média dos segmentos),desvio padrão complexidade,tempo,ganho médio de entropia por corte,numero de segmentos
TopDownReg_48_50_0_5dias_umidrelmed2m_2017-04-11 _ 2017-04-16.csv,TopDownReg_48_50,5dias_umidrelmed2m_2017-04-11 _ 2017-04-16,1.8900253038833557,2.6135046529891057,26.857142857142858,7.039248568431383,105.32471915497445,-0.13038230092624586,7
TopDownIndex_25_0_5dias_umidrelmed2m_2017-04-11 _ 2017-04-16.csv,TopDownIndex_25,5dias_umidrelmed2m_2017-04-11 _ 2017-04-16,0.6637043671296439,1.0565736572359803,5.212121212121212,7.44850703944225,1422.43032860104,-0.4149356562633556,99
Full_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,full,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,8.818013314491667,11.15857501531599,14.0,0.0,20.39582422300009,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,PageHinkley,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28,2.0692166730719794,2.951967701584151,23.0,5.802298395176403,101.67012190702371,-0.2632080464042449,6
PeriodicCut_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,PeriodicCut,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28,3.5780342269138457,4.706554508995748,17.75,4.815340071064556,68.74144942400744,-0.6045822801456452,4
RandomCut_1_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,RandomCut_1,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28,4.749119484163021,6.776334743529004,21.5,2.0615528128088303,69.36572429799708,-0.41061954972799725,4
RandomCut_2_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,RandomCut_2,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28,2.1827817466771617,3.2407479056808643,23.833333333333332,4.374801582802229,101.86590007902123,-0.39162479003163975,6
RandomCut_3_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,RandomCut_3,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28,2.4408304361121624,3.381169651700565,22.22222222222222,6.232134961057848,149.9840568609652,-0.21237003832800705,9
TopDownReg_48_50_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,TopDownReg_48_50,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28,2.5387853213357032,3.4806634765554127,21.25,8.584142356694699,137.84486049599946,-0.08682747591927428,8
TopDownIndex_25_0_5dias_umidrelmed2m_2018-02-23 _ 2018-02-28.csv,TopDownIndex_25,5dias_umidrelmed2m_2018-02-23 _ 2018-02-28,0.6812858517593531,1.1968864164339814,3.3445945945945947,7.260326139124692,2456.554641039984,-0.44480867744829183,148
Full_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,full,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,9.44307309130984,11.289245145181692,22.0,0.0,24.045887866988778,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,PageHinkley,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18,5.458271902929068,6.641314485673731,20.0,4.0,42.890642251004465,0.0,2
PeriodicCut_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,PeriodicCut,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18,4.5942109095968,5.609650764975689,24.5,1.5,43.10941269801697,0.0,2
RandomCut_1_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,RandomCut_1,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18,5.6548162061101435,6.982748925625255,23.5,2.5,42.40740518900566,0.0,2
RandomCut_2_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,RandomCut_2,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18,3.063307093487239,4.2782523473390635,23.5,6.34428877022476,80.66639247798594,-0.05269769009632371,4
RandomCut_3_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,RandomCut_3,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18,9.59880100289427,12.437115879275183,19.0,7.0,41.02223819697974,0.0,2
TopDownReg_48_50_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,TopDownReg_48_50,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18,2.1800462243317638,2.9193531725175745,27.25,3.59687364248454,159.07808809896233,-0.15234271242605857,8
TopDownIndex_25_0_5dias_umidrelmed2m_2016-07-13 _ 2016-07-18.csv,TopDownIndex_25,5dias_umidrelmed2m_2016-07-13 _ 2016-07-18,0.9491380376102478,1.4181178763332958,6.597222222222222,10.487637857950006,1347.1130535649718,-0.5081949042662562,72
Full_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,full,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,9.068608041580045,10.793825040635832,7.0,0.0,23.661613990028854,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,PageHinkley,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17,2.1077648560113866,2.9298407783640834,19.857142857142858,7.989789402348321,145.9914434509701,-0.3745569640009688,7
PeriodicCut_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,PeriodicCut,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17,3.174134722413979,4.13322100548355,23.666666666666668,3.0912061651652345,65.46349249896593,-0.6161353275556247,3
RandomCut_1_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,RandomCut_1,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17,4.2075610625175,5.444185421001847,25.0,4.546060565661952,65.88836794102099,-0.18456390439490122,3
RandomCut_2_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,RandomCut_2,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17,3.0140721877061707,3.839781010769701,32.333333333333336,8.178562764256865,66.31887985696085,-0.3112326422561471,3
RandomCut_3_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,RandomCut_3,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17,,,25.75,8.554969316134336,168.78834497201024,-0.18443569948375163,8
TopDownReg_48_50_0_5dias_umidrelmed2m_2019-05-10 _ 2019-05-17.csv,TopDownReg_48_50,5dias_umidrelmed2m_2019-05-10 _ 2019-05-17,1.1905900985668079,1.6926788102146526,20.5,5.220153254455275,169.57194423303008,-0.2352393946661852,8
